"year";"month";"product_id";"product_name";"revenue";"abc_class";"stab_percent";"product_dinamic"
1996.0;10.0;17;Alice Mutton;3058;A;"145%";Волатильный товар
1996.0;11.0;17;Alice Mutton;1123;A;-63%;Одноразовый хит
1997.0;1.0;17;Alice Mutton;3026;A;"169%";Одноразовый хит
1997.0;2.0;17;Alice Mutton;312;B;-90%;Одноразовый хит
1997.0;5.0;17;Alice Mutton;2847;A;"812%";Одноразовый хит
1997.0;6.0;17;Alice Mutton;1326;A;-53%;Одноразовый хит
1997.0;7.0;17;Alice Mutton;3900;A;"194%";Одноразовый хит
1997.0;9.0;17;Alice Mutton;1170;A;-70%;Одноразовый хит
1997.0;10.0;17;Alice Mutton;2145;A;"83%";Одноразовый хит
1997.0;11.0;17;Alice Mutton;780;A;-64%;Одноразовый хит
1997.0;12.0;17;Alice Mutton;4212;A;"440%";Одноразовый хит
1998.0;1.0;17;Alice Mutton;1872;A;-56%;Одноразовый хит
1998.0;2.0;17;Alice Mutton;2067;A;"10%";Одноразовый хит
1998.0;3.0;17;Alice Mutton;1053;B;-49%;Одноразовый хит
1998.0;4.0;17;Alice Mutton;468;C;-56%;Одноразовый хит
1998.0;5.0;17;Alice Mutton;3003;A;"542%";Одноразовый хит
1996.0;8.0;18;Carnarvon Tigers;600;A;"0%";Волатильный товар
1996.0;9.0;18;Carnarvon Tigers;1250;A;"108%";Якорный товар
1996.0;10.0;18;Carnarvon Tigers;3000;A;"140%";Волатильный товар
1996.0;12.0;18;Carnarvon Tigers;450;B;-85%;Одноразовый хит
1997.0;3.0;18;Carnarvon Tigers;1500;A;"233%";Волатильный товар
1997.0;4.0;18;Carnarvon Tigers;1562;A;"4%";Волатильный товар
1997.0;6.0;18;Carnarvon Tigers;1125;A;-28%;Одноразовый хит
1997.0;7.0;18;Carnarvon Tigers;2500;A;"122%";Волатильный товар
1997.0;8.0;18;Carnarvon Tigers;5125;A;"105%";Волатильный товар
1997.0;10.0;18;Carnarvon Tigers;750;B;-85%;Одноразовый хит
1997.0;11.0;18;Carnarvon Tigers;2812;A;"275%";Одноразовый хит
1997.0;12.0;18;Carnarvon Tigers;1875;A;-33%;Одноразовый хит
1998.0;1.0;18;Carnarvon Tigers;3438;A;"83%";Одноразовый хит
1998.0;2.0;18;Carnarvon Tigers;1562;A;-55%;Одноразовый хит
1998.0;3.0;18;Carnarvon Tigers;1125;B;-28%;Одноразовый хит
1998.0;4.0;18;Carnarvon Tigers;3312;A;"194%";Одноразовый хит
1996.0;8.0;19;Teatime Chocolate Biscuits;139;C;"0%";Товар без спроса
1996.0;9.0;19;Teatime Chocolate Biscuits;110;C;-21%;Товар без спроса
1996.0;10.0;19;Teatime Chocolate Biscuits;73;C;-33%;Одноразовый хит
1996.0;11.0;19;Teatime Chocolate Biscuits;584;B;"700%";Одноразовый хит
1997.0;1.0;19;Teatime Chocolate Biscuits;307;C;-48%;Одноразовый хит
1997.0;2.0;19;Teatime Chocolate Biscuits;489;B;"60%";Одноразовый хит
1997.0;3.0;19;Teatime Chocolate Biscuits;190;C;-61%;Одноразовый хит
1997.0;5.0;19;Teatime Chocolate Biscuits;92;C;-52%;Одноразовый хит
1997.0;6.0;19;Teatime Chocolate Biscuits;322;B;"250%";Волатильный товар
1997.0;8.0;19;Teatime Chocolate Biscuits;460;B;"43%";Волатильный товар
1997.0;9.0;19;Teatime Chocolate Biscuits;451;B;-2%;Одноразовый хит
1997.0;10.0;19;Teatime Chocolate Biscuits;221;C;-51%;Одноразовый хит
1997.0;12.0;19;Teatime Chocolate Biscuits;681;B;"208%";Одноразовый хит
1998.0;1.0;19;Teatime Chocolate Biscuits;267;C;-61%;Одноразовый хит
1998.0;2.0;19;Teatime Chocolate Biscuits;340;C;"28%";Одноразовый хит
1998.0;3.0;19;Teatime Chocolate Biscuits;175;C;-49%;Одноразовый хит
1998.0;4.0;19;Teatime Chocolate Biscuits;782;B;"347%";Одноразовый хит
1998.0;5.0;19;Teatime Chocolate Biscuits;478;B;-39%;Одноразовый хит
1996.0;7.0;20;Sir Rodney's Marmalade;2592;A;"0%";Товар без спроса
1996.0;8.0;20;Sir Rodney's Marmalade;1685;A;-35%;Одноразовый хит
1996.0;12.0;20;Sir Rodney's Marmalade;2592;A;"54%";Волатильный товар
1997.0;4.0;20;Sir Rodney's Marmalade;3159;A;"22%";Волатильный товар
1997.0;5.0;20;Sir Rodney's Marmalade;1215;A;-62%;Одноразовый хит
1997.0;7.0;20;Sir Rodney's Marmalade;1701;A;"40%";Волатильный товар
1997.0;9.0;20;Sir Rodney's Marmalade;1701;A;"0%";Волатильный товар
1998.0;1.0;20;Sir Rodney's Marmalade;405;C;-76%;Одноразовый хит
1998.0;2.0;20;Sir Rodney's Marmalade;1620;A;"300%";Волатильный товар
1998.0;3.0;20;Sir Rodney's Marmalade;5670;A;"250%";Волатильный товар
1998.0;4.0;20;Sir Rodney's Marmalade;1215;B;-79%;Одноразовый хит
1998.0;5.0;20;Sir Rodney's Marmalade;81;C;-93%;Товар без спроса
1996.0;7.0;21;Sir Rodney's Scones;240;B;"0%";Товар без спроса
1996.0;10.0;21;Sir Rodney's Scones;80;C;-67%;Товар без спроса
1996.0;11.0;21;Sir Rodney's Scones;40;C;-50%;Одноразовый хит
1996.0;12.0;21;Sir Rodney's Scones;80;C;"100%";Волатильный товар
1997.0;1.0;21;Sir Rodney's Scones;736;B;"820%";Волатильный товар
1997.0;2.0;21;Sir Rodney's Scones;640;B;-13%;Одноразовый хит
1997.0;3.0;21;Sir Rodney's Scones;280;B;-56%;Одноразовый хит
1997.0;4.0;21;Sir Rodney's Scones;520;B;"86%";Одноразовый хит
1997.0;5.0;21;Sir Rodney's Scones;210;C;-60%;Одноразовый хит
1997.0;7.0;21;Sir Rodney's Scones;140;C;-33%;Одноразовый хит
1997.0;8.0;21;Sir Rodney's Scones;970;A;"593%";Одноразовый хит
1997.0;9.0;21;Sir Rodney's Scones;720;B;-26%;Одноразовый хит
1997.0;10.0;21;Sir Rodney's Scones;370;C;-49%;Одноразовый хит
1997.0;11.0;21;Sir Rodney's Scones;700;B;"89%";Одноразовый хит
1997.0;12.0;21;Sir Rodney's Scones;400;C;-43%;Одноразовый хит
1998.0;1.0;21;Sir Rodney's Scones;400;C;"0%";Волатильный товар
1998.0;2.0;21;Sir Rodney's Scones;600;B;"50%";Якорный товар
1998.0;3.0;21;Sir Rodney's Scones;1480;A;"147%";Волатильный товар
1998.0;4.0;21;Sir Rodney's Scones;1030;B;-30%;Одноразовый хит
1996.0;7.0;22;Gustaf's Knäckebröd;101;C;"0%";Волатильный товар
1997.0;2.0;22;Gustaf's Knäckebröd;202;C;"100%";Якорный товар
1997.0;5.0;22;Gustaf's Knäckebröd;504;B;"150%";Якорный товар
1997.0;7.0;22;Gustaf's Knäckebröd;1008;A;"100%";Якорный товар
1997.0;8.0;22;Gustaf's Knäckebröd;1995;A;"98%";Волатильный товар
1997.0;9.0;22;Gustaf's Knäckebröd;420;B;-79%;Одноразовый хит
1997.0;12.0;22;Gustaf's Knäckebröd;210;C;-50%;Одноразовый хит
1998.0;1.0;22;Gustaf's Knäckebröd;1827;A;"770%";Одноразовый хит
1998.0;3.0;22;Gustaf's Knäckebröd;441;C;-76%;Одноразовый хит
1998.0;4.0;22;Gustaf's Knäckebröd;525;C;"19%";Одноразовый хит
1996.0;10.0;23;Tunnbröd;288;C;"0%";Товар без спроса
1996.0;11.0;23;Tunnbröd;180;C;-38%;Одноразовый хит
1996.0;12.0;23;Tunnbröd;288;C;"60%";Волатильный товар
1997.0;1.0;23;Tunnbröd;432;B;"50%";Волатильный товар
1997.0;3.0;23;Tunnbröd;259;B;-40%;Одноразовый хит
1997.0;4.0;23;Tunnbröd;72;C;-72%;Одноразовый хит
1997.0;5.0;23;Tunnbröd;810;B;"1025%";Одноразовый хит
1997.0;8.0;23;Tunnbröd;90;C;-89%;Одноразовый хит
1997.0;9.0;23;Tunnbröd;333;C;"270%";Волатильный товар
1997.0;11.0;23;Tunnbröd;396;B;"19%";Якорный товар
1998.0;1.0;23;Tunnbröd;792;B;"100%";Волатильный товар
1998.0;2.0;23;Tunnbröd;720;B;-9%;Одноразовый хит
1998.0;3.0;23;Tunnbröd;72;C;-90%;Одноразовый хит
1998.0;4.0;23;Tunnbröd;90;C;"25%";Одноразовый хит
1998.0;5.0;23;Tunnbröd;18;C;-80%;Одноразовый хит
1996.0;7.0;24;Guaraná Fantástica;155;C;"0%";Товар без спроса
1996.0;8.0;24;Guaraná Fantástica;144;C;-7%;Одноразовый хит
1996.0;11.0;24;Guaraná Fantástica;162;C;"12%";Одноразовый хит
1996.0;12.0;24;Guaraná Fantástica;108;C;-33%;Одноразовый хит
1997.0;2.0;24;Guaraná Fantástica;72;C;-33%;Одноразовый хит
1997.0;3.0;24;Guaraná Fantástica;479;B;"565%";Одноразовый хит
1997.0;4.0;24;Guaraná Fantástica;166;C;-65%;Одноразовый хит
1997.0;5.0;24;Guaraná Fantástica;158;C;-5%;Одноразовый хит
1997.0;6.0;24;Guaraná Fantástica;194;C;"23%";Одноразовый хит
1997.0;7.0;24;Guaraná Fantástica;158;C;-19%;Одноразовый хит
1997.0;8.0;24;Guaraná Fantástica;104;C;-34%;Одноразовый хит
1997.0;10.0;24;Guaraná Fantástica;248;C;"139%";Одноразовый хит
1997.0;12.0;24;Guaraná Fantástica;180;C;-27%;Одноразовый хит
1998.0;1.0;24;Guaraná Fantástica;180;C;"0%";Волатильный товар
1998.0;2.0;24;Guaraná Fantástica;657;B;"265%";Якорный товар
1998.0;3.0;24;Guaraná Fantástica;900;B;"37%";Волатильный товар
1998.0;4.0;24;Guaraná Fantástica;630;B;-30%;Одноразовый хит
1998.0;5.0;24;Guaraná Fantástica;90;C;-86%;Товар без спроса
1996.0;10.0;25;NuNuCa Nuß-Nougat-Creme;45;C;"0%";Волатильный товар
1996.0;11.0;25;NuNuCa Nuß-Nougat-Creme;672;B;"1400%";Волатильный товар
1996.0;12.0;25;NuNuCa Nuß-Nougat-Creme;78;C;-88%;Одноразовый хит
1997.0;3.0;25;NuNuCa Nuß-Nougat-Creme;134;C;"71%";Волатильный товар
1997.0;4.0;25;NuNuCa Nuß-Nougat-Creme;924;B;"588%";Волатильный товар
1997.0;12.0;25;NuNuCa Nuß-Nougat-Creme;868;B;-6%;Одноразовый хит
1998.0;1.0;25;NuNuCa Nuß-Nougat-Creme;714;B;-18%;Товар без спроса
1998.0;2.0;25;NuNuCa Nuß-Nougat-Creme;70;C;-90%;Одноразовый хит
1998.0;3.0;25;NuNuCa Nuß-Nougat-Creme;336;C;"380%";Одноразовый хит
1998.0;4.0;25;NuNuCa Nuß-Nougat-Creme;210;C;-38%;Одноразовый хит
1996.0;10.0;26;Gumbär Gummibärchen;1843;A;"0%";Товар без спроса
1996.0;11.0;26;Gumbär Gummibärchen;398;C;-78%;Одноразовый хит
1996.0;12.0;26;Gumbär Gummibärchen;1743;A;"338%";Волатильный товар
1997.0;1.0;26;Gumbär Gummibärchen;1793;A;"3%";Волатильный товар
1997.0;2.0;26;Gumbär Gummibärchen;1270;A;-29%;Товар без спроса
1997.0;3.0;26;Gumbär Gummibärchen;747;A;-41%;Одноразовый хит
1997.0;5.0;26;Gumbär Gummibärchen;1249;A;"67%";Одноразовый хит
1997.0;7.0;26;Gumbär Gummibärchen;344;C;-72%;Одноразовый хит
1997.0;8.0;26;Gumbär Gummibärchen;1093;A;"218%";Волатильный товар
1997.0;9.0;26;Gumbär Gummibärchen;1405;A;"29%";Якорный товар
1997.0;10.0;26;Gumbär Gummibärchen;1405;A;"0%";Волатильный товар
1997.0;11.0;26;Gumbär Gummibärchen;999;A;-29%;Товар без спроса
1997.0;12.0;26;Gumbär Gummibärchen;656;B;-34%;Одноразовый хит
1998.0;1.0;26;Gumbär Gummibärchen;3279;A;"400%";Одноразовый хит
1998.0;2.0;26;Gumbär Gummibärchen;625;B;-81%;Одноразовый хит
1998.0;3.0;26;Gumbär Gummibärchen;156;C;-75%;Одноразовый хит
1998.0;4.0;26;Gumbär Gummibärchen;2530;A;"1520%";Одноразовый хит
