"order_id";"order_year";"order_month";"order_revenue";"cumulative_revenue";"cumulative_percent";"abc_class"
10693;1997.0;10.0;2334;737882;"54%";A
10395;1996.0;12.0;2333;740215;"55%";A
10314;1996.0;9.0;2327;742542;"55%";A
10746;1997.0;11.0;2312;744854;"55%";A
10766;1997.0;12.0;2310;747164;"55%";A
10670;1997.0;9.0;2302;749465;"55%";A
10342;1996.0;10.0;2301;751766;"56%";A
10533;1997.0;5.0;2295;754061;"56%";A
10804;1997.0;12.0;2290;756352;"56%";A
10601;1997.0;7.0;2285;758637;"56%";A
10855;1998.0;1.0;2275;760912;"56%";A
10390;1996.0;12.0;2275;763187;"56%";A
10361;1996.0;11.0;2274;765461;"57%";A
10327;1996.0;10.0;2262;767723;"57%";A
10985;1998.0;3.0;2248;769972;"57%";A
10332;1996.0;10.0;2234;772205;"57%";A
10977;1998.0;3.0;2233;774438;"57%";A
10384;1996.0;12.0;2222;776661;"57%";A
10986;1998.0;3.0;2220;778881;"58%";A
10773;1997.0;12.0;2216;781097;"58%";A
10436;1997.0;2.0;2211;783308;"58%";A
10419;1997.0;1.0;2208;785516;"58%";A
10892;1998.0;2.0;2200;787716;"58%";A
10748;1997.0;11.0;2196;789912;"58%";A
10285;1996.0;8.0;2179;792091;"58%";A
10290;1996.0;8.0;2169;794260;"59%";A
10872;1998.0;2.0;2167;796427;"59%";A
10541;1997.0;5.0;2163;798589;"59%";A
11028;1998.0;4.0;2160;800749;"59%";A
10535;1997.0;5.0;2156;802906;"59%";A
10575;1997.0;6.0;2147;805053;"59%";A
10558;1997.0;6.0;2143;807196;"60%";A
10273;1996.0;8.0;2142;809339;"60%";A
10413;1997.0;1.0;2123;811462;"60%";A
10452;1997.0;2.0;2096;813558;"60%";A
10877;1998.0;2.0;2086;815644;"60%";A
10536;1997.0;5.0;2085;817729;"60%";A
10871;1998.0;2.0;2083;819812;"61%";A
10573;1997.0;6.0;2082;821894;"61%";A
10814;1998.0;1.0;2070;823964;"61%";A
10641;1997.0;8.0;2054;826018;"61%";A
10964;1998.0;3.0;2052;828071;"61%";A
10461;1997.0;2.0;2052;830122;"61%";A
10503;1997.0;4.0;2048;832171;"61%";A
10700;1997.0;10.0;2048;834219;"62%";A
10566;1997.0;6.0;2040;836259;"62%";A
10924;1998.0;3.0;2034;838293;"62%";A
10663;1997.0;9.0;2032;840325;"62%";A
10258;1996.0;7.0;2019;842344;"62%";A
10406;1997.0;1.0;2018;844362;"62%";A
10868;1998.0;2.0;2005;846367;"62%";A
10731;1997.0;11.0;1990;848357;"63%";A
10997;1998.0;4.0;1980;850337;"63%";A
10830;1998.0;1.0;1974;852311;"63%";A
11024;1998.0;4.0;1967;854277;"63%";A
10330;1996.0;10.0;1940;856217;"63%";A
10921;1998.0;3.0;1936;858153;"63%";A
10918;1998.0;3.0;1930;860083;"64%";A
10646;1997.0;8.0;1928;862011;"64%";A
10791;1997.0;12.0;1926;863938;"64%";A
10932;1998.0;3.0;1926;865863;"64%";A
10904;1998.0;2.0;1924;867787;"64%";A
10667;1997.0;9.0;1921;869708;"64%";A
10786;1997.0;12.0;1914;871622;"64%";A
10747;1997.0;11.0;1913;873535;"64%";A
10547;1997.0;5.0;1908;875443;"65%";A
10396;1996.0;12.0;1904;877347;"65%";A
10954;1998.0;3.0;1902;879249;"65%";A
11002;1998.0;4.0;1902;881151;"65%";A
10420;1997.0;1.0;1898;883048;"65%";A
10706;1997.0;10.0;1893;884941;"65%";A
10294;1996.0;8.0;1888;886829;"65%";A
11041;1998.0;4.0;1887;888716;"66%";A
10880;1998.0;2.0;1875;890591;"66%";A
11070;1998.0;5.0;1874;892465;"66%";A
10750;1997.0;11.0;1871;894336;"66%";A
10249;1996.0;7.0;1863;896199;"66%";A
10812;1998.0;1.0;1852;898051;"66%";A
10729;1997.0;11.0;1850;899901;"66%";A
10464;1997.0;3.0;1848;901749;"67%";A
10449;1997.0;2.0;1838;903587;"67%";A
11059;1998.0;4.0;1838;905425;"67%";A
10551;1997.0;5.0;1836;907261;"67%";A
10368;1996.0;11.0;1834;909096;"67%";A
10389;1996.0;12.0;1833;910928;"67%";A
10537;1997.0;5.0;1824;912752;"67%";A
10470;1997.0;3.0;1821;914573;"68%";A
10650;1997.0;8.0;1820;916393;"68%";A
10554;1997.0;5.0;1820;918213;"68%";A
10418;1997.0;1.0;1815;920028;"68%";A
10250;1996.0;7.0;1813;921841;"68%";A
10984;1998.0;3.0;1810;923650;"68%";A
10442;1997.0;2.0;1792;925442;"68%";A
10475;1997.0;3.0;1771;927213;"68%";A
10543;1997.0;5.0;1770;928983;"69%";A
10740;1997.0;11.0;1770;930753;"69%";A
10684;1997.0;9.0;1768;932521;"69%";A
10399;1996.0;12.0;1766;934287;"69%";A
10829;1998.0;1.0;1764;936051;"69%";A
10957;1998.0;3.0;1763;937813;"69%";A
10309;1996.0;9.0;1762;939575;"69%";A
10485;1997.0;3.0;1760;941335;"69%";A
10441;1997.0;2.0;1755;943090;"70%";A
11035;1998.0;4.0;1754;944845;"70%";A
10429;1997.0;1.0;1748;946593;"70%";A
10260;1996.0;7.0;1746;948340;"70%";A
10971;1998.0;3.0;1733;950073;"70%";A
10346;1996.0;11.0;1731;951804;"70%";A
11055;1998.0;4.0;1728;953531;"70%";A
10727;1997.0;11.0;1710;955241;"71%";A
10373;1996.0;12.0;1708;956949;"71%";A
10707;1997.0;10.0;1704;958653;"71%";A
10769;1997.0;12.0;1704;960357;"71%";A
10751;1997.0;11.0;1701;962059;"71%";A
10660;1997.0;9.0;1701;963760;"71%";A
11036;1998.0;4.0;1692;965452;"71%";A
10459;1997.0;2.0;1688;967140;"71%";A
10765;1997.0;12.0;1684;968824;"72%";A
10680;1997.0;9.0;1683;970506;"72%";A
10404;1997.0;1.0;1675;972181;"72%";A
10527;1997.0;5.0;1670;973851;"72%";A
11052;1998.0;4.0;1665;975516;"72%";A
10808;1998.0;1.0;1660;977176;"72%";A
10617;1997.0;7.0;1650;978826;"72%";A
10784;1997.0;12.0;1650;980476;"72%";A
10758;1997.0;11.0;1645;982121;"73%";A
10686;1997.0;9.0;1638;983759;"73%";A
10800;1997.0;12.0;1632;985391;"73%";A
10869;1998.0;2.0;1630;987021;"73%";A
10408;1997.0;1.0;1622;988644;"73%";A
10878;1998.0;2.0;1620;990264;"73%";A
10312;1996.0;9.0;1615;991879;"73%";A
10343;1996.0;10.0;1586;993465;"73%";A
10799;1997.0;12.0;1585;995050;"73%";A
10457;1997.0;2.0;1584;996634;"74%";A
11018;1998.0;4.0;1575;998209;"74%";A
10722;1997.0;10.0;1570;999779;"74%";A
10572;1997.0;6.0;1566;1001344;"74%";A
11046;1998.0;4.0;1564;1002908;"74%";A
10488;1997.0;3.0;1560;1004468;"74%";A
10362;1996.0;11.0;1550;1006018;"74%";A
10553;1997.0;5.0;1546;1007564;"74%";A
10645;1997.0;8.0;1535;1009099;"75%";A
10664;1997.0;9.0;1516;1010615;"75%";A
10834;1998.0;1.0;1508;1012123;"75%";A
10603;1997.0;7.0;1508;1013631;"75%";A
10626;1997.0;8.0;1504;1015135;"75%";A
10978;1998.0;3.0;1501;1016635;"75%";A
11023;1998.0;4.0;1500;1018135;"75%";A
10734;1997.0;11.0;1498;1019634;"75%";A
10325;1996.0;10.0;1497;1021131;"75%";A
10278;1996.0;8.0;1489;1022620;"76%";A
10768;1997.0;12.0;1477;1024097;"76%";A
10596;1997.0;7.0;1476;1025573;"76%";A
10481;1997.0;3.0;1472;1027045;"76%";A
10866;1998.0;2.0;1462;1028506;"76%";A
10733;1997.0;11.0;1459;1029965;"76%";A
10272;1996.0;8.0;1456;1031421;"76%";A
10284;1996.0;8.0;1452;1032873;"76%";A
10884;1998.0;2.0;1451;1034324;"76%";A
11063;1998.0;4.0;1445;1035769;"76%";A
10253;1996.0;7.0;1445;1037214;"77%";A
10783;1997.0;12.0;1442;1038657;"77%";A
10392;1996.0;12.0;1440;1040097;"77%";A
10859;1998.0;1.0;1438;1041535;"77%";A
10649;1997.0;8.0;1434;1042969;"77%";A
10623;1997.0;8.0;1430;1044399;"77%";A
10675;1997.0;9.0;1423;1045822;"77%";A
10644;1997.0;8.0;1422;1047244;"77%";A
10297;1996.0;9.0;1420;1048664;"77%";A
10380;1996.0;12.0;1420;1050083;"78%";A
10283;1996.0;8.0;1415;1051498;"78%";A
10606;1997.0;7.0;1413;1052911;"78%";A
10499;1997.0;4.0;1412;1054323;"78%";A
10968;1998.0;3.0;1408;1055731;"78%";A
10946;1998.0;3.0;1408;1057139;"78%";A
11022;1998.0;4.0;1402;1058541;"78%";A
10624;1997.0;8.0;1393;1059934;"78%";A
10504;1997.0;4.0;1388;1061323;"78%";A
10497;1997.0;4.0;1381;1062703;"78%";A
10635;1997.0;8.0;1380;1064083;"79%";A
10270;1996.0;8.0;1376;1065459;"79%";A
11077;1998.0;5.0;1375;1066834;"79%";A
10357;1996.0;11.0;1360;1068194;"79%";A
10989;1998.0;3.0;1354;1069548;"79%";A
10526;1997.0;5.0;1344;1070892;"79%";A
10779;1997.0;12.0;1335;1072227;"79%";A
10717;1997.0;10.0;1332;1073558;"79%";A
10471;1997.0;3.0;1328;1074886;"79%";A
10681;1997.0;9.0;1327;1076213;"79%";A
11045;1998.0;4.0;1310;1077523;"80%";A
10564;1997.0;6.0;1299;1078822;"80%";A
10728;1997.0;11.0;1297;1080119;"80%";A
10292;1996.0;8.0;1296;1081415;"80%";A
10715;1997.0;10.0;1296;1082711;"80%";A
10665;1997.0;9.0;1295;1084006;"80%";B
10659;1997.0;9.0;1292;1085297;"80%";B
11029;1998.0;4.0;1287;1086584;"80%";B
10388;1996.0;12.0;1274;1087858;"80%";B
10421;1997.0;1.0;1273;1089131;"80%";B
10486;1997.0;3.0;1272;1090403;"81%";B
10627;1997.0;8.0;1264;1091668;"81%";B
10999;1998.0;4.0;1261;1092929;"81%";B
10619;1997.0;8.0;1260;1094189;"81%";B
10560;1997.0;6.0;1257;1095446;"81%";B
10803;1997.0;12.0;1256;1096702;"81%";B
10966;1998.0;3.0;1256;1097957;"81%";B
10837;1998.0;1.0;1254;1099211;"81%";B
10474;1997.0;3.0;1249;1100460;"81%";B
10303;1996.0;9.0;1242;1101702;"81%";B
10712;1997.0;10.0;1238;1102941;"81%";B
10885;1998.0;2.0;1209;1104150;"82%";B
10411;1997.0;1.0;1208;1105358;"82%";B
10653;1997.0;9.0;1204;1106562;"82%";B
10277;1996.0;8.0;1201;1107763;"82%";B
10995;1998.0;4.0;1196;1108959;"82%";B
10407;1997.0;1.0;1194;1110153;"82%";B
10319;1996.0;10.0;1191;1111344;"82%";B
10265;1996.0;7.0;1176;1112520;"82%";B
10929;1998.0;3.0;1175;1113695;"82%";B
10370;1996.0;12.0;1174;1114869;"82%";B
11027;1998.0;4.0;1170;1116039;"82%";B
10328;1996.0;10.0;1168;1117207;"82%";B
10557;1997.0;6.0;1152;1118359;"83%";B
10690;1997.0;10.0;1150;1119509;"83%";B
10820;1998.0;1.0;1140;1121789;"83%";B
10590;1997.0;7.0;1140;1121789;"83%";B
10944;1998.0;3.0;1139;1122929;"83%";B
10781;1997.0;12.0;1132;1124061;"83%";B
10719;1997.0;10.0;1126;1125187;"83%";B
10469;1997.0;3.0;1125;1126312;"83%";B
10919;1998.0;3.0;1123;1127435;"83%";B
10961;1998.0;3.0;1122;1128557;"83%";B
10257;1996.0;7.0;1120;1129677;"83%";B
10846;1998.0;1.0;1112;1130789;"83%";B
10356;1996.0;11.0;1106;1131895;"84%";B
10268;1996.0;7.0;1101;1132996;"84%";B
11047;1998.0;4.0;1091;1134087;"84%";B
10643;1997.0;8.0;1086;1135173;"84%";B
10749;1997.0;11.0;1080;1136253;"84%";B
10439;1997.0;2.0;1078;1137331;"84%";B
11000;1998.0;4.0;1075;1138406;"84%";B
10697;1997.0;10.0;1074;1139480;"84%";B
10580;1997.0;6.0;1067;1140547;"84%";B
10608;1997.0;7.0;1064;1141611;"84%";B
10387;1996.0;12.0;1058;1142669;"84%";B
11076;1998.0;5.0;1057;1143726;"84%";B
10849;1998.0;1.0;1052;1144778;"85%";B
10472;1997.0;3.0;1051;1145830;"85%";B
10296;1996.0;9.0;1051;1146880;"85%";B
10444;1997.0;2.0;1032;1147912;"85%";B
10825;1998.0;1.0;1031;1148943;"85%";B
11026;1998.0;4.0;1030;1149973;"85%";B
10423;1997.0;1.0;1020;1150993;"85%";B
10377;1996.0;12.0;1016;1152009;"85%";B
10902;1998.0;2.0;1016;1153024;"85%";B
10982;1998.0;3.0;1014;1154038;"85%";B
10833;1998.0;1.0;1008;1155046;"85%";B
10403;1997.0;1.0;1006;1156052;"85%";B
10736;1997.0;11.0;997;1157049;"85%";B
10696;1997.0;10.0;996;1158045;"85%";B
10994;1998.0;4.0;990;1159035;"86%";B
10882;1998.0;2.0;988;1160023;"86%";B
10326;1996.0;10.0;982;1161005;"86%";B
10569;1997.0;6.0;978;1161983;"86%";B
10842;1998.0;1.0;975;1162958;"86%";B
10721;1997.0;10.0;973;1163930;"86%";B
10563;1997.0;6.0;965;1164895;"86%";B
11011;1998.0;4.0;960;1165855;"86%";B
10379;1996.0;12.0;959;1166815;"86%";B
10913;1998.0;2.0;959;1167773;"86%";B
10677;1997.0;9.0;957;1168730;"86%";B
10304;1996.0;9.0;954;1169685;"86%";B
10333;1996.0;10.0;954;1170639;"86%";B
10364;1996.0;11.0;950;1171589;"86%";B
10529;1997.0;5.0;946;1172535;"87%";B
10640;1997.0;8.0;945;1173480;"87%";B
10923;1998.0;3.0;936;1174416;"87%";B
10338;1996.0;10.0;935;1175350;"87%";B
10901;1998.0;2.0;934;1176285;"87%";B
10903;1998.0;2.0;932;1177217;"87%";B
10828;1998.0;1.0;932;1178149;"87%";B
10848;1998.0;1.0;932;1179080;"87%";B
11066;1998.0;5.0;929;1180009;"87%";B
10347;1996.0;11.0;928;1180937;"87%";B
10487;1997.0;3.0;925;1181862;"87%";B
10287;1996.0;8.0;924;1182786;"87%";B
10933;1998.0;3.0;921;1183707;"87%";B
10671;1997.0;9.0;920;1184627;"87%";B
10744;1997.0;11.0;920;1185547;"88%";B
10839;1998.0;1.0;919;1186466;"88%";B
10630;1997.0;8.0;918;1187384;"88%";B
10876;1998.0;2.0;917;1188301;"88%";B
10447;1997.0;2.0;914;1189216;"88%";B
10494;1997.0;4.0;912;1190128;"88%";B
10976;1998.0;3.0;912;1191040;"88%";B
10967;1998.0;3.0;910;1191950;"88%";B
11050;1998.0;4.0;900;1192850;"88%";B
10383;1996.0;12.0;899;1193749;"88%";B
10492;1997.0;4.0;896;1194645;"88%";B
10507;1997.0;4.0;881;1195526;"88%";B
10552;1997.0;5.0;880;1196407;"88%";B
10692;1997.0;10.0;878;1197285;"88%";B
10774;1997.0;12.0;875;1198160;"88%";B
10642;1997.0;8.0;870;1199030;"89%";B
10385;1996.0;12.0;864;1199894;"89%";B
10890;1998.0;2.0;860;1200754;"89%";B
11058;1998.0;4.0;858;1202470;"89%";B
10911;1998.0;2.0;858;1202470;"89%";B
10811;1998.0;1.0;852;1203322;"89%";B
10433;1997.0;2.0;851;1204173;"89%";B
10835;1998.0;1.0;851;1205024;"89%";B
10790;1997.0;12.0;850;1205874;"89%";B
10293;1996.0;8.0;849;1206723;"89%";B
10965;1998.0;3.0;848;1207571;"89%";B
10525;1997.0;5.0;846;1208417;"89%";B
10397;1996.0;12.0;843;1209260;"89%";B
10827;1998.0;1.0;843;1210103;"89%";B
10576;1997.0;6.0;838;1210941;"89%";B
10931;1998.0;3.0;837;1211778;"89%";B
10556;1997.0;6.0;835;1212614;"90%";B
10367;1996.0;11.0;834;1213448;"90%";B
10818;1998.0;1.0;833;1214281;"90%";B
10502;1997.0;4.0;816;1215097;"90%";B
10591;1997.0;7.0;812;1215910;"90%";B
10611;1997.0;7.0;808;1216718;"90%";B
10587;1997.0;7.0;807;1217525;"90%";B
10410;1997.0;1.0;802;1218327;"90%";B
10685;1997.0;9.0;801;1219128;"90%";B
10597;1997.0;7.0;800;1219928;"90%";B
10927;1998.0;3.0;800;1220728;"90%";B
10983;1998.0;3.0;796;1221525;"90%";B
10532;1997.0;5.0;796;1222321;"90%";B
10958;1998.0;3.0;781;1223102;"90%";B
10788;1997.0;12.0;770;1223872;"90%";B
10574;1997.0;6.0;764;1224636;"90%";B
10621;1997.0;8.0;758;1225395;"90%";B
10480;1997.0;3.0;756;1226151;"91%";B
10301;1996.0;9.0;755;1226906;"91%";B
11038;1998.0;4.0;751;1227657;"91%";B
10896;1998.0;2.0;750;1228407;"91%";B
10939;1998.0;3.0;750;1229157;"91%";B
10550;1997.0;5.0;749;1229906;"91%";B
11020;1998.0;4.0;744;1230650;"91%";B
10922;1998.0;3.0;742;1231393;"91%";B
10850;1998.0;1.0;740;1232133;"91%";B
10844;1998.0;1.0;735;1232868;"91%";B
10826;1998.0;1.0;730;1233598;"91%";B
10875;1998.0;2.0;729;1234327;"91%";B
10264;1996.0;7.0;724;1235052;"91%";B
10416;1997.0;1.0;720;1235772;"91%";B
10780;1997.0;12.0;720;1236492;"91%";B
10468;1997.0;3.0;718;1237210;"91%";B
10975;1998.0;3.0;718;1237927;"91%";B
10350;1996.0;11.0;713;1238640;"91%";B
10463;1997.0;3.0;713;1239354;"92%";B
10565;1997.0;6.0;711;1240776;"92%";B
10943;1998.0;3.0;711;1240776;"92%";B
10716;1997.0;10.0;706;1241482;"92%";B
10483;1997.0;3.0;704;1242186;"92%";B
10661;1997.0;9.0;703;1242889;"92%";B
11009;1998.0;4.0;702;1243591;"92%";B
10935;1998.0;3.0;700;1244291;"92%";B
10908;1998.0;2.0;698;1244989;"92%";B
10668;1997.0;9.0;695;1245684;"92%";B
10916;1998.0;2.0;687;1246370;"92%";B
10998;1998.0;4.0;686;1247056;"92%";B
10821;1998.0;1.0;678;1247734;"92%";B
10956;1998.0;3.0;677;1248411;"92%";B
10493;1997.0;4.0;676;1249763;"92%";B
10269;1996.0;7.0;676;1249763;"92%";B
10477;1997.0;3.0;672;1250435;"92%";B
10656;1997.0;9.0;671;1251107;"92%";B
10251;1996.0;7.0;671;1251778;"92%";B
10909;1998.0;2.0;670;1252448;"92%";B
10654;1997.0;9.0;669;1253116;"93%";B
10679;1997.0;9.0;660;1254436;"93%";B
10856;1998.0;1.0;660;1254436;"93%";B
10456;1997.0;2.0;656;1255092;"93%";B
10726;1997.0;11.0;655;1255747;"93%";B
10427;1997.0;1.0;651;1256398;"93%";B
10858;1998.0;1.0;649;1257047;"93%";B
10813;1998.0;1.0;648;1257695;"93%";B
10571;1997.0;6.0;648;1258343;"93%";B
11010;1998.0;4.0;645;1258988;"93%";B
10937;1998.0;3.0;645;1259633;"93%";B
10695;1997.0;10.0;642;1260275;"93%";B
10724;1997.0;10.0;638;1260913;"93%";B
10647;1997.0;8.0;636;1261549;"93%";B
10435;1997.0;2.0;632;1262181;"93%";B
10689;1997.0;10.0;630;1262811;"93%";B
10636;1997.0;8.0;630;1264070;"93%";B
10761;1997.0;12.0;630;1264070;"93%";B
10254;1996.0;7.0;625;1264695;"93%";B
10853;1998.0;1.0;625;1265945;"93%";B
10584;1997.0;6.0;625;1265945;"93%";B
10262;1996.0;7.0;625;1266570;"94%";B
11015;1998.0;4.0;622;1267192;"94%";B
10632;1997.0;8.0;620;1267812;"94%";B
10512;1997.0;4.0;618;1268430;"94%";B
10763;1997.0;12.0;616;1269046;"94%";B
10280;1996.0;8.0;613;1269659;"94%";B
10879;1998.0;2.0;611;1270271;"94%";B
10300;1996.0;9.0;608;1270879;"94%";B
10888;1998.0;2.0;605;1272089;"94%";B
10622;1997.0;8.0;605;1272089;"94%";B
10735;1997.0;11.0;596;1272685;"94%";B
10704;1997.0;10.0;596;1273280;"94%";B
11044;1998.0;4.0;592;1273872;"94%";B
11005;1998.0;4.0;586;1275044;"94%";B
11075;1998.0;5.0;586;1275044;"94%";B
10862;1998.0;1.0;581;1275625;"94%";B
10498;1997.0;4.0;575;1276200;"94%";B
10806;1997.0;12.0;572;1276772;"94%";B
